ind,pop,reg,mitoClade
ALN001,ALN,eUS,A
ALN002,ALN,eUS,A
ALN003,ALN,eUS,A
ALN004,ALN,eUS,A
ALN005,ALN,eUS,A
ALN006,ALN,eUS,A
ALN007,ALN,eUS,A
ALN008,ALN,eUS,A
ALN009,ALN,eUS,A
ALN010,ALN,eUS,A
ALN011,ALN,eUS,A
ALN012,ALN,eUS,A
ALN013,ALN,eUS,A
ALN014,ALN,eUS,A
ALN015,ALN,eUS,A
ALN016,ALN,eUS,A
ALN017,ALN,eUS,A
ALN018,ALN,eUS,A
ALN019,ALN,eUS,A
ALN020,ALN,eUS,A
ARG001,ARG,Arg,A
ARG002,ARG,Arg,A
ARG003,ARG,Arg,A
ARG004,ARG,Arg,A
ARG005,ARG,Arg,A
ARG006,ARG,Arg,A
ARG007,ARG,Arg,A
ARG008,ARG,Arg,A
ARG009,ARG,Arg,A
ARG010,ARG,Arg,A
ARG011,ARG,Arg,A
ARG012,ARG,Arg,A
ARG013,ARG,Arg,A
ARG014,ARG,Arg,A
ARG015,ARG,Arg,A
ARG016,ARG,Arg,A
ARG017,ARG,Arg,A
ARG018,ARG,Arg,A
ARG019,ARG,Arg,A
ARG020,ARG,Arg,A
ARG021,ARG,Arg,A
CBV001,CBV,eUS,A
CBV002,CBV,eUS,A
CBV003,CBV,eUS,A
CBV004,CBV,eUS,A
CBV005,CBV,eUS,A
CBV006,CBV,eUS,A
CBV007,CBV,eUS,A
CBV008,CBV,eUS,A
CBV009,CBV,eUS,A
CBV010,CBV,eUS,A
CBV011,CBV,eUS,A
CBV012,CBV,eUS,A
CBV013,CBV,eUS,A
CBV014,CBV,eUS,A
CBV015,CBV,eUS,A
CBV016,CBV,eUS,A
CBV017,CBV,eUS,A
CBV018,CBV,eUS,A
CBV019,CBV,eUS,A
CBV020,CBV,eUS,A
CBV021,CBV,eUS,A
CBV022,CBV,eUS,A
CHS001,CHS,eUS,A
CHS002,CHS,eUS,A
CHS003,CHS,eUS,A
CHS004,CHS,eUS,A
CHS005,CHS,eUS,A
CHS006,CHS,eUS,A
CHS007,CHS,eUS,A
CHS008,CHS,eUS,A
CHS009,CHS,eUS,A
CHS010,CHS,eUS,A
CHS011,CHS,eUS,A
CHS012,CHS,eUS,A
CHS013,CHS,eUS,A
CHS014,CHS,eUS,A
CHS015,CHS,eUS,A
CHS016,CHS,eUS,A
CHS017,CHS,eUS,A
CHS018,CHS,eUS,A
CHS019,CHS,eUS,A
CHS020,CHS,eUS,A
CHS021,CHS,eUS,A
CHS022,CHS,eUS,A
EHS001,EHS,wUS,C
EHS002,EHS,wUS,C
EHS003,EHS,wUS,C
EHS004,EHS,wUS,C
EHS005,EHS,wUS,C
EHS006,EHS,wUS,C
EHS007,EHS,wUS,C
EHS008,EHS,wUS,C
EHS009,EHS,wUS,C
EHS010,EHS,wUS,C
EHS011,EHS,wUS,C
EHS012,EHS,wUS,C
EHS013,EHS,wUS,C
EHS014,EHS,wUS,C
EHS015,EHS,wUS,C
EHS016,EHS,wUS,C
EHS017,EHS,wUS,C
EHS018,EHS,wUS,C
EHS019,EHS,wUS,C
EHS020,EHS,wUS,C
HUM001,HUM,HUM,A
HUM002,HUM,HUM,A
HUM003,HUM,HUM,A
HUM004,HUM,HUM,A
HUM005,HUM,HUM,A
HUM006,HUM,HUM,A
HUM007,HUM,HUM,C
HUM008,HUM,HUM,A
HUM009,HUM,HUM,A
HUM010,HUM,HUM,A
HUM011,HUM,HUM,A
HUM012,HUM,HUM,A
